15:41:33.453 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:33.574 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:33.664 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:33.754 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:33.874 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:33.964 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:34.054 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:34.174 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:34.263 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:34.354 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:34.474 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:34.564 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:34.654 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:34.774 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:34.864 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:34.954 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:35.074 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:35.164 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:35.254 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:35.374 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:35.464 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:35.554 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:35.674 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:35.764 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:35.854 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:35.974 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:36.064 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:36.154 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:36.274 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:36.394 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:36.454 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:36.574 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:36.664 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:36.753 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:36.874 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:36.994 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:37.054 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:37.174 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:37.264 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:37.354 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:37.474 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:37.564 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:37.654 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
