17:02:09.126 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	d4000000> 	17:02:09.126	d400	0000	00d4	0000	212	0
17:02:09.127 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	d4000000> 	17:02:09.127	d400	0000	00d4	0000	212	0
17:02:09.186 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	dc000000> 	17:02:09.186	dc00	0000	00dc	0000	220	0
17:02:09.247 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	e1000000> 	17:02:09.247	e100	0000	00e1	0000	225	0
17:02:09.276 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	e1000000> 	17:02:09.276	e100	0000	00e1	0000	225	0
17:02:09.336 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	e1000000> 	17:02:09.336	e100	0000	00e1	0000	225	0
17:02:09.396 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	e1000000> 	17:02:09.396	e100	0000	00e1	0000	225	0
17:02:09.457 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	e1000000> 	17:02:09.457	e100	0000	00e1	0000	225	0
17:02:09.486 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	e1000000> 	17:02:09.486	e100	0000	00e1	0000	225	0
17:02:09.547 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	88010000> 	17:02:09.547	8801	0000	0188	0000	392	0
17:02:09.606 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	e8010000> 	17:02:09.606	e801	0000	01e8	0000	488	0
17:02:09.666 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	23020000> 	17:02:09.666	2302	0000	0223	0000	547	0
17:02:09.697 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	4a020000> 	17:02:09.697	4a02	0000	024a	0000	586	0
17:02:09.756 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	5e020000> 	17:02:09.756	5e02	0000	025e	0000	606	0
